Inst,alpha,N,Delta,time
newinstances/instance0_11446.npz,9.999999999999999e-06,1024,4,0.09260869026184082
newinstances/instance0_11447.npz,9.999999999999999e-06,1024,2,0.1848001480102539
newinstances/instance0_11448.npz,9.999999999999999e-06,1024,128,0.3075525760650635
newinstances/instance0_11449.npz,9.999999999999999e-06,1024,64,0.041800737380981445
newinstances/instance0_11450.npz,9.999999999999999e-06,1024,32,0.08865189552307129
newinstances/instance0_11451.npz,9.999999999999999e-06,1024,16,4.333767652511597
newinstances/instance0_11452.npz,9.999999999999999e-06,1024,8,0.2414541244506836
newinstances/instance0_11453.npz,9.999999999999999e-06,1024,4,0.049138784408569336
newinstances/instance0_11454.npz,9.999999999999999e-06,1024,2,0.2717103958129883
newinstances/instance0_11455.npz,9.999999999999999e-06,1024,128,0.04583454132080078
newinstances/instance0_11456.npz,9.999999999999999e-06,1024,64,0.0503382682800293
newinstances/instance0_11457.npz,9.999999999999999e-06,1024,32,0.1010744571685791
newinstances/instance0_11458.npz,9.999999999999999e-06,1024,16,4.297820568084717
newinstances/instance0_11459.npz,9.999999999999999e-06,1024,8,0.23945975303649902
newinstances/instance0_11460.npz,9.999999999999999e-06,1024,4,0.09715962409973145
newinstances/instance0_11461.npz,9.999999999999999e-06,1024,2,0.3373527526855469
newinstances/instance0_11462.npz,9.999999999999999e-06,1024,1,0.24520015716552734
newinstances/instance0_11463.npz,9.999999999999999e-06,1024,128,0.06584477424621582
newinstances/instance0_11464.npz,9.999999999999999e-06,1024,64,0.04343247413635254
newinstances/instance0_11465.npz,9.999999999999999e-06,1024,32,0.08651542663574219
newinstances/instance0_11466.npz,9.999999999999999e-06,1024,16,2.686147451400757
newinstances/instance0_11467.npz,9.999999999999999e-06,1024,8,0.24934864044189453
newinstances/instance0_11468.npz,9.999999999999999e-06,1024,4,0.09028244018554688
newinstances/instance0_11469.npz,9.999999999999999e-06,1024,2,0.32386016845703125
newinstances/instance0_11470.npz,9.999999999999999e-06,1024,1,0.2388005256652832
newinstances/instance0_11471.npz,9.999999999999999e-06,1024,128,0.12379026412963867
newinstances/instance0_11472.npz,9.999999999999999e-06,1024,64,0.15090084075927734
newinstances/instance0_11473.npz,9.999999999999999e-06,1024,32,0.20899724960327148
newinstances/instance0_11474.npz,9.999999999999999e-06,1024,16,3.6166770458221436
newinstances/instance0_11475.npz,9.999999999999999e-06,1024,8,0.2433764934539795
newinstances/instance0_11476.npz,9.999999999999999e-06,1024,4,0.06868195533752441
newinstances/instance0_11477.npz,9.999999999999999e-06,1024,2,0.3630037307739258
newinstances/instance0_11478.npz,9.999999999999999e-06,1024,1,0.24747800827026367
newinstances/instance0_11479.npz,9.999999999999999e-06,1024,128,0.12087416648864746
newinstances/instance0_11480.npz,9.999999999999999e-06,1024,64,0.09348011016845703
newinstances/instance0_11481.npz,9.999999999999999e-06,1024,32,0.12396240234375
newinstances/instance0_11482.npz,9.999999999999999e-06,1024,16,0.7780501842498779
newinstances/instance0_11483.npz,9.999999999999999e-06,1024,8,0.2586355209350586
newinstances/instance0_11484.npz,9.999999999999999e-06,1024,4,0.04667949676513672
newinstances/instance0_11485.npz,9.999999999999999e-06,1024,2,0.375213623046875
newinstances/instance0_11486.npz,9.999999999999999e-06,1024,1,0.24118471145629883
newinstances/instance0_11487.npz,9.999999999999999e-06,1024,128,0.16327834129333496
newinstances/instance0_11488.npz,9.999999999999999e-06,1024,64,0.14957690238952637
newinstances/instance0_11489.npz,9.999999999999999e-06,1024,32,0.17759418487548828
newinstances/instance0_11490.npz,9.999999999999999e-06,1024,16,2.3523054122924805
newinstances/instance0_11491.npz,9.999999999999999e-06,1024,8,0.2297205924987793
newinstances/instance0_11492.npz,9.999999999999999e-06,1024,4,0.0658266544342041
newinstances/instance0_11493.npz,9.999999999999999e-06,1024,2,0.3510124683380127
newinstances/instance0_11494.npz,9.999999999999999e-06,1024,1,0.25001955032348633
newinstances/instance0_11495.npz,9.999999999999999e-06,1024,0,0.013843536376953125
newinstances/instance0_11515.npz,9.999999999999999e-05,1024,128,0.1242055892944336
newinstances/instance0_11516.npz,9.999999999999999e-05,1024,128,0.05198359489440918
newinstances/instance0_11517.npz,9.999999999999999e-05,1024,64,0.10462260246276855
newinstances/instance0_11518.npz,9.999999999999999e-05,1024,32,0.11257505416870117
