N,alpha,Slip1,Slip2,Slip3,SlipSur,Sur,BFGS
512,1E-07,3.80289794181824,275.107581559525,192.000921679382,1.45835661888123,0,11.0732111930847
512,1E-06,7.66517762695313,285.509476581039,185.482903358002,3.54333472251892,0,11.0732111930847
512,1E-05,11.194379683609,0.968541719589234,74.9297702339172,3.71016001701355,0,11.0732111930847
512,0.0001,13.8113884949493,0.616158268890381,91.3066376416016,2.90946865081787,0,11.0732111930847
512,0.001,34.3892106438446,0.634488930435181,61.7256238990021,20.7763197422028,0,11.0732111930847
1024,1E-07,9.0481179044342,717.381021168213,521.596488452225,5.78161692619324,0,34.7290751934052
1024,1E-06,4.51203216041565,380.590660341568,251.250808432236,40.2351019382477,0,34.7290751934052
1024,1E-05,45.0930273558044,1.32551988647461,7.42121925773621,15.1106390953064,0,34.7290751934052
1024,0.0001,29.9335803896332,1.01355828826904,118.454021360016,10.1958441734314,0,34.7290751934052
1024,0.001,182.248038595963,1.03399112564087,114.359564217758,38.6887876987457,0,34.7290751934052
2048,1E-07,143.166607204742,1511.7268224572,804.603503697967,28.8294878005981,0,58.8931937217712
2048,1E-06,8.38907602485657,312.297989650345,207.465182714462,17.8318586349487,0,58.8931937217712
2048,1E-05,8.89591802215576,1.58377400001526,250.436022679138,103.307420015335,0,58.8931937217712
2048,0.0001,86.4513565518189,2.00680683906555,257.761803771286,228.883471488953,0,58.8931937217712
2048,0.001,309.014687158279,1.60120499053955,178.49984691536,95.5236356258392,0,58.8931937217712
4096,1E-07,19.5866747145081,3733.57137720833,2089.44339416977,227.448726654053,0,64.5616390705109
4096,1E-06,137.567547343597,27.129230524292,543.397230394058,187.40643119812,0,64.5616390705109
4096,1E-05,227.149218376846,2.31801702529907,469.478047451096,208.824305057526,0,64.5616390705109
4096,0.0001,104.19043177002,2.24540164169312,422.603510576096,153.281155109406,0,64.5616390705109
4096,0.001,594.031713608704,2.32628970779419,371.982694357681,328.053271770477,0,64.5616390705109
8192,1E-07,720.30466144104,6343.47743365471,5250.59348200485,192.116245985031,0,127.550143957138
8192,1E-06,1760.12953350471,6.51348513832092,2072.40798289841,207.602955818176,0,127.550143957138
8192,1E-05,1384.29802621285,3.30465004684448,2056.43877327721,495.090409040451,0,127.550143957138
8192,0.0001,1330.89716046272,3.36977435333252,1562.35419568405,440.191440343857,0,127.550143957138
8192,0.001,1448.71711293945,3.55185743515015,1563.80714246796,1222.2778532505,0,127.550143957138
