N,alpha,Kernel,Slip0,SlipBFGS,SlipScarp,SlipSur,Scarp,Sur,BFGS
512,1.00E-07,1,18.7685117721558,4.28463506698608,1.29023671150208,1.13520121574402,0.402,0,19.6004414558411
512,1.00E-06,1,16.8984274864196,1.34038710594177,2.39548277854919,1.09729933738709,0.402,0,19.6004414558411
512,1.00E-05,1,14.8705236911774,1.45908427238464,1.16525912284851,1.07938528060913,0.402,0,19.6004414558411
512,0.0001,1,6.4148983955383,1.55847382545471,1.15964245796204,15.4650728702545,0.402,0,19.6004414558411
512,0.001,1,0.310114383697595,5.82222127914429,2.23030281066895,4.61072850227356,0.402,0,19.6004414558411
1024,1.00E-07,1,32.5649302005768,4.94582533836365,2.08021259307861,1.5828709602356,1.64,0,20.993545293808
1024,1.00E-06,1,35.0061333179474,7.7163577079773,1.35484528541565,1.55987048149109,1.64,0,20.993545293808
1024,1.00E-05,1,19.3276023864746,3.42796230316162,0.908186674118042,1.54305624961853,1.64,0,20.993545293808
1024,0.0001,1,14.3110692501072,4.46692633628845,11.2981190681458,18.9073450565338,1.64,0,20.993545293808
1024,0.001,1,1.689640760421,13.0315022468567,4.88214564323425,8.52362895011902,1.64,0,20.993545293808
2048,1.00E-07,1,118.313940763474,18.8974289894104,2.36517214775085,2.71746444702148,1.366,0,22.91872382164
2048,1.00E-06,1,96.942034244537,15.0913162231445,2.52603840827942,2.70833325386047,1.366,0,22.91872382164
2048,1.00E-05,1,52.508920669556,21.7777261734009,8.74873995780945,3.99060773849487,1.366,0,22.91872382164
2048,0.0001,1,29.817296504974,34.444060087204,23.9847753047943,40.4369316101074,1.366,0,22.91872382164
2048,0.001,1,2.83576369285601,41.8183689117432,20.9898748397827,17.7618618011475,1.366,0,22.91872382164
4096,1.00E-07,1,372.54240489006,46.0401725769043,3.76244211196899,6.98477149009705,3.714,0,18.4535694122314
4096,1.00E-06,1,229.74755525589,68.6626679897308,6.29563975334168,7.06520462036133,3.714,0,18.4535694122314
